id,count,genre,text,answers,noskip
20135,2244,dating,How do you feel about falling in love?,"['I love it and want it very much', 'I try to avoid it', 'I like to just let it happen', ""I'm indifferent / not sure""]",0
1062,2187,lifestyle,How frequently do you bathe or shower?,"['At least once a day.', 'Usually daily. I skip some.', 'A couple times a week.', 'Once a week or less.']",0
20021,2184,dating,Which of these options most closely describes what you're looking for in your next relationship?,"['Someone to come home to', 'Someone to go out with', 'Someone for tonight']",0
48557,2177,dating,Do you find arrogance to be a turn-on?,"['Yes', 'No']",0
221105,2173,lifestyle,How often do you use social media?,"[""I'm a very active user."", ""I'm a somewhat active user."", 'I rarely use it.', 'I never use it.']",1
12605,2171,sex,"Once you're intimate, how often would you and your significant other have sex?","['Every day', 'About every other day', 'Once or twice a week', 'A few times a month or less']",0
47751,2154,lifestyle,Do you ever eat in bed?,"['Yes', 'No']",0
15751,2153,ethics,Should wealthier people pay higher taxes?,"['Yes', 'No']",0
35355,2141,sex,How open are you to trying new things in bed?,"[""Very open. I'll try anything once."", ""I'm open, but I don't get too crazy."", 'Hesitant, but it might happen.', 'Not at all.']",0
18875,2140,dating,How important is it to you that your partner smell good?,"['Very damn important', 'Important-ish', 'Less important than you think', ""I just don't care at all""]",0
19075,2130,lifestyle,Would you date someone who doesn't own a car?,"['Yes', 'No']",0
19011,2124,lifestyle,Do you have a TV in your bedroom?,"['Yes', 'No']",0
175,2117,ethics,Should burning your country's flag be illegal?,"['Yes', 'No']",0
31581,2110,dating,Your significant other's ex is coming into town and he/she wants to go out to dinner with them alone. How do you react?,"['Sure, no problem.', 'Not thrilled, but go ahead.', 'No way.']",0
21181,2093,dating,"It’s your first date. Do you split the bill, pay the whole bill, have them pay the whole bill","['Split the bill', 'Pay the whole bill', 'Have them pay the whole bill', ""It doesn't matter to me""]",1
25228,2086,dating,Do you think drug use with your partner can be a romantic activity?,"['Yes', 'No']",0
509,2081,lifestyle,Do you like to wear a costume for Halloween?,"['Yes', 'No']",1
41850,2075,dating,How important is it for you to make physical contact when showing affection for someone?,"['Very important.', 'Somewhat important.', 'Not important.']",0
19378,2071,dating,How are you most likely to show your partner you care?,"['Words: Tell them how much you appreciate them', 'Actions: Do something nice', 'Gifts: Buy them flowers, jewelry or a new gadget', 'Touch: Give them a hug, massage or kiss']",0
15746,2070,lifestyle,Do you consider yourself a perfectionist?,"['Yes', 'No']",0
212814,2065,lifestyle,How important are your political beliefs to you?,"['Very important', 'Somewhat important', 'A little important', 'Not at all important']",0
307,2064,lifestyle,Do you like wild parties?,"['Yes', 'No']",0
19854,2055,sex,Are sex and intimacy the same thing?,"['Yes', 'No']",0
763,2051,lifestyle,Do you believe in karma?,"['Yes', 'No']",0
6867,2033,lifestyle,Would you enjoy a night in playing video games?,"['Yes', 'No']",0
27794,2033,other,Would you date someone who was always optimistic?,"['Yes', 'No']",0
441,2028,lifestyle,Do you make your bed most days?,"['Yes', 'No']",0
1099,2025,other,Are you smarter than most people?,"['Yes', 'No']",0
106,2020,dating,Have you ever been married?,"['Yes', 'No']",0
301,2019,other,Are you annoyed by people who are super logical?,"['Yes', 'No']",0
40194,2014,dating,How important is it that your partner be willing and able to participate in meaningful philosophical conversations?,"['Extremely important.', 'Somewhat important.', 'Not at all important.']",0
464646,2013,dating,Can you tell from someone’s dating profile whether or not you’ll get along in real life?,"['Yes, usually', 'About half the time', 'No, usually', ""I don't know""]",1
464481,1989,sex,Are you kinky?,"['Yes', 'No', 'A bit']",1
6258,1987,dating,Would you date someone who is bisexual?,"['Yes', 'No']",0
45428,1981,other,Do you say 'Thank you' to wait staff when served in a restaurant?,"['Always.', 'Most of the time.', 'Occasionally.', 'Never.']",0
15889,1978,religion,Do you put more weight in science or faith?,"['Science', 'Faith', 'Equally in both']",0
221106,1973,lifestyle,How often do you give Facebook updates?,"['All the time', 'Sometimes', 'Rarely', 'Never']",1
20519,1969,dating,In a relationship I like to discuss politics with my partner.,"['All the time!', ""Sure. I'm interested in sharing our beliefs."", 'Sometimes. It depends.', 'Hardly. Politics are boring or personal.']",0
19898,1967,other,Do you enjoy finding out what makes things work the way they do?,"[""I'm an information sponge"", 'Sometimes', 'As long as it works, who cares why?']",0
401,1967,lifestyle,Are you very close to your family?,"['Yes', 'No']",0
80594,1966,dating,Can you be single and truly happy at the same time?,"['Yes', 'No']",0
22439,1963,ethics,Can just one person significantly change the world?,"['Yes', 'No']",0
464557,1961,dating,"Are you open to a casual relationship (i.e. more than a hookup, less than a significant other)?","[""Yes, I'm open to casual"", 'Yes, but only if my partner were reliable', 'No']",1
40441,1947,lifestyle,"If you were to die, would whoever goes through your personal belongings be shocked by what they find?","['Yes.', 'No.', 'Maybe a little bit.']",0
27921,1935,ethics,Do you believe your country would be more or less safe if every adult owned a gun?,"['More safe', 'Less safe', 'Neither / unsure']",0
60892,1932,other,Do you believe in fate?,"['Yes', 'No']",0
546,1931,dating,Would you date a transgender person?,"['Yes', 'No']",0
527,1922,dating,Is marriage a necessity for two people who love each other?,"['Yes', 'No']",0
128,1910,other,Do you have any tattoos?,"['I have 1 or more big tattoos', 'I have 1 or more little tattoos', 'I have no tattoos']",0
462350,1893,lifestyle,Do you like using party drugs like MDMA/molly? ,"['Yes', 'Yes, but rarely', 'Nope, not at all']",1
6155,1884,other,Are you a snob about some things?,"['Yes', 'No']",0
8155,1879,lifestyle,"On average, which best describes how often you GET WICKED DRUNK?","['Twice a week or more', 'Weekly / Bi-Weekly', 'Once every month or three.', 'Seldom or never.']",0
15698,1861,other,How do you feel about kids?,"['Kids are precious—they love me and I love them', ""They're okay, but keep the unruly ones at bay"", 'How revolting', ""I'm indifferent""]",0
15372,1860,dating,Could you date someone who has strong political opinions that are the exact opposite of yours?,"['Yes', 'No']",0
979,1851,dating,How many children would you ideally like to have?,"['None', '1-2', '3-4', '5 or more!']",0
6347,1846,religion,Do you believe in miracles?,"['Yes', 'No']",0
1707,1838,other,Which of the following best describes your typical demeanor?,"['Cheerful!  I have a positive outlook.', 'Meh. I have my ups and downs.', 'Annoyed. The world sucks.']",0
170849,1833,dating,Do you Google someone before a first date?,"['Yes. Knowledge is power!', 'No. Why spoil the mystery?']",0
3670729317,1831,dating,Best first date?,"['Coffee', 'Something cultural or activity based', 'Drinks', 'Dinner']",1
60843,1828,dating,"If you were to get married, would you want your partner to change his or her last name to yours?","['Yes.', 'No.', 'I would want them to make their own decision.']",0
784,1819,dating,Would you be okay with your significant other spending a lot of time with one of his/her exes (as a friend)?,"['Yes', 'No']",0
6634,1816,religion,Are you afraid of death?,"['Yes', 'No']",0
25114,1815,lifestyle,Which event sounds most appealing?,"['Sci-Fi Convention', 'Political Convention', 'Music Festival', 'New Years Eve in Times Square']",0
46176,1814,other,Is it possible for someone to really be 'too nice'?,"['Yes', 'No']",0
31840,1809,dating,I prefer to sleep…,"['Alone', 'With my partner, but apart (not touching)', 'Touching my partner', 'Embracing / cuddling my partner']",0
19874,1802,dating,How long do your romantic relationships usually last?,"['0-6 months', '6-12 months', '12+ months', ""I've never been in a relationship""]",0
59457,1786,other,Are you okay with people who grow marijuana for their own personal use?,"['Yes', 'No']",0
24282,1783,lifestyle,"Outside of work and school, how inclined are you to investigate something that interests you?","['Very inclined', 'Somewhat inclined', 'Not inclined']",0
6619,1780,lifestyle,Do you feel Art has heavily influenced who you are?,"['Yes', 'No']",0
61786,1777,religion,Would you consider dating someone whose religion or spirituality is the primary focus in their life?,"['Yes', 'No']",0
60884,1769,lifestyle,Are you a “people person”?,"['Yes', 'No']",0
1454,1765,lifestyle,"Do you enjoy outdoor activities such as camping, hiking or fishing?","['Yes', 'No']",0
19737,1762,lifestyle,Could you live a life full of traveling?,"['Yes', 'No']",0
19081,1755,lifestyle,Do you live with your parent(s)?,"['Yes', 'No']",1
15030,1752,lifestyle,Which would you prefer your ideal match to be more into?,"['Sports', 'Books', 'Music', 'Movies']",0
955415231,1749,dating,Would you live with a partner before marriage?,"['Yes', 'Only if we were engaged', 'No']",1
393,1746,sex,Is there such a thing as having had too many sex partners?,"['Yes', 'No']",1
19265,1745,other,A college-level education is...,"['Necessary', 'Nice, but not mandatory', 'Unnecessary']",0
324,1742,sex,Orgasms are clearly the most important part of sex.,"['I agree.', 'I disagree.']",0
35778,1739,lifestyle,Would you allow a pet to sleep on your bed?,"['Yes.', 'No.', 'Maybe.']",0
308,1735,dating,"If you like someone a lot, do you usually ask them out?","['Yes', 'No']",0
53611,1731,lifestyle,How often do you meditate?,"['Frequently.', 'Rarely.', 'Never.']",0
63114,1728,sex,How do you think your sex drive compares to what is typical for other people of your age and gender?,"['My sex drive is higher than average.', 'My sex drive is about average.', 'My sex drive is below average.', ""I'm insatiable.""]",0
136,1726,ethics,Would you get upset if your partner flirted in front of you?,"['Yes', 'No']",0
20530,1723,other,"When texting with a potential partner, is use of proper grammar and spelling important to you?","['Yes', 'No']",0
20889,1715,sex,"What's your opinion of the phrase ""making love"" when it refers to sex?","[""It's beautiful."", ""It's hokey and overly sentimental."", 'It refers to a very specific kind of sex.', ""It's no better or worse than any other.""]",0
51349,1710,lifestyle,Is it possible for your partner to be too ambitious?,"['Yes', 'No']",0
122,1709,dating,How much does physical attractiveness matter to you in a match?,"['A lot', 'A little', 'Not at all']",0
462335,1707,lifestyle,"Do you need a creative outlet (to play an instrument, paint, write, etc)?","['Yes, I need a way to express myself', 'Sometimes, but I could live without it', ""I'm fine without one""]",1
20418,1706,lifestyle,Do you keep a budget of your finances?,"['Yes', 'No', 'Sometimes']",0
3379817239,1702,lifestyle,Do you prefer that your date shares your political views?,"['Yes', 'No']",1
594,1698,ethics,Can anything be made the subject of a joke?,"['Yes, anything can be funny in the right light.', 'No, some subjects should not be joked about.']",0
29384,1695,sex,Would you allow your partner to kiss you after performing oral sex on you?,"['Allow? I enjoy it.', 'Yes.', 'No.', 'It depends.']",0
145010673,1695,dating,Would you be open to a long-distance relationship?,"['Yes, for the right person we can make it work', 'It depends on how far away they are', 'No, I can’t do long distance']",1
69943,1693,lifestyle,Do you like large dogs?,"['Yes', 'No']",0
16931,1691,lifestyle,Have you ever skinny-dipped?,"['Yes', 'No']",0
335,1688,lifestyle,Do you (or would you) like to go hunting?,"['Yes', 'No']",0
21411,1684,lifestyle,"Do you enjoy intellectual debates on topics like politics, religion, science, or philosophy?","['I love to argue!', 'Sometimes.', ""It's usually boring or annoying."", ""I'm not smart enough.""]",1
1185,1679,dating,"In a serious relationship, do you feel it's important to keep your significant other informed of the details of your day-to-day life?","['Yes', 'No', 'Not every day']",1
46403,1678,lifestyle,Could you date someone who needs a great deal of alone time?,"['Yes', 'No']",0
42640,1676,lifestyle,Do you consider yourself to be a picky eater?,"['Yes', 'No']",0
4018,1674,other,Are you happy with your life?,"['Yes', 'No']",1
3357217418,1669,lifestyle,Freedom of the press is...,"['Important', 'Not important']",1
372625048,1666,lifestyle,How would you feel if your partner earned more money than you?,"['Jealous', 'Indifferent', 'Inferior', 'Thrilled']",1
37693,1665,lifestyle,"Would you be willing to date someone who plays video games almost every day, for at least 2 hours?","[""Yes, I'd be playing with them."", 'Yes, but I would not play that much.', ""Yes, but I don't like video games."", 'No.']",0
8054,1660,dating,Have you ever been in love?,"['Yes', 'No']",0
26557,1658,dating,You’re dating someone new. You discover that they have a housemate the same gender as you. This:,"['Makes you feel uncomfortable', ""Doesn't faze you one bit""]",0
209,1655,other,Will you teach your children to believe in Santa?,"['Yes', 'No']",0
341,1654,ethics,"Regardless of whether or not you smoke marijuana, do you think it should be legalized for adults?","['Yes', 'No']",0
1602243066,1653,religion,Is it important to you that your partner practices the same religion as you?,"['Yes', ""No, I don't mind if we practice different religion"", 'It depends on their religion ', ""No, I don't practice a religion""]",1
430,1651,lifestyle,Are carbohydrates something you think about?,"['Yes', 'No']",0
464521,1643,other,Trump?,"['Hell No', 'No', 'Yes', 'Hell Yes']",1
375,1641,lifestyle,Do you like going to the movies alone?,"['Yes', 'No']",0
313640,1637,other,Were you picked on a lot in school?,"['Yes', 'No']",0
24748,1635,lifestyle,Would you date a comic book geek?,"['Yes', 'No']",0
169,1631,ethics,Should the death penalty be abolished?,"['Yes', 'No']",0
27239,1630,dating,"It's your first date with someone you recently met. At the end they say ""I think I love you.""","['Scary', 'Sweet']",0
83660,1628,lifestyle,Do you like the idea of living alone?,"['Yes', 'No']",0
1588,1621,lifestyle,Do you like cats?  Would you consider owning a cat as a pet?,"['Yes, I would love (or do own) a cat.', ""I'm not too into them, but I wouldn't mind one."", 'No, I dislike cats.', ""I like them, but I'm allergic.""]",0
66548,1619,ethics,Which is closest to your reaction to foul language?,"[""It doesn't bother me at all."", ""It's ok as long as it isn't every other word."", 'It bothers me a little.', 'It bothers me a lot.']",0
13006,1618,lifestyle,Would you go out with a smoker?,"['Yes', 'Yes, but only an occasional/social smoker', 'No']",1
53540,1612,other,"Regardless of your actual age, do you consider yourself to be an adult?","['Yes.', 'No.', 'Only some of the time.']",0
52719,1609,ethics,Should healthcare be funded by the government?,"['Yes, for everyone.', 'Yes, but only for certain people.', 'No.', ""I'm not sure.""]",1
2399889126,1607,dating,Do you think it’s important to have an emotional connection before a physical one?,"['Yes', 'No']",1
462259,1597,other,Is climate change real?,"['Yes', 'No']",1
1477204239,1595,other,Do you speak more than one language?,"['Yes', 'No', 'No, but I want to learn']",1
963,1590,sex,Is foreplay necessary for good sex?,"['Yes', 'No']",1
15749,1587,other,Do you go to great lengths to avoid conflict?,"['Yes', 'No']",0
54016,1581,dating,Are you afraid of falling madly in love?,"['Yes', 'No']",0
13086,1575,dating,Would you date a single parent?,"['Yes', 'No']",0
30169,1574,sex,Do you enjoy giving oral sex?,"['Love it!', ""It's okay."", 'Not so much.', 'Gross!']",0
26841,1574,other,How frequently do you go out of your way to make others feel appreciated?,"['Way more than average', 'About average', 'Less than average / Never']",0
15037,1572,ethics,"If someone asked you, ""What's the worst thing you've ever done?"" would you know the answer right away?","['Yes', 'No']",0
156917,1568,religion,Are you Atheist?,"['Yes', 'No']",0
9628,1565,sex,Biting?,"['No', 'Yes', ""Let's break skin""]",0
1971816078,1557,lifestyle,Have you attended a protest march?,"['Yes', 'No', ""No, but I'd like to""]",1
614,1556,other,"If you could have brilliant skill at something, would you prefer:","['Something practical', 'Something fun']",0
1375,1555,lifestyle,Are geeks sexy?,"['Yes', 'No']",0
46107,1551,religion,Are spirituality and religion one and the same?,"['Yes', 'No']",0
22122,1547,dating,How long do you need to chat with someone before feeling comfortable meeting in person?,"[""I'd meet right away if their profile were cool"", 'A few days', 'A few weeks', 'A few months']",0
19392,1545,other,Have you ever written something on the wall of a public toilet?,"['Yes', 'No']",0
23696,1538,other,"When you are angry or frustrated do you ever throw, smash, kick, or hit inanimate objects?","['Yes, frequently', 'Sometimes', 'Used to, but not any more', 'Never']",0
23993,1538,sex,"In terms of sex, how experienced would your ideal mate be (with people other than you)?","['Innocent (virgin)', 'Slightly experienced', 'Moderately experienced', 'Very experienced']",0
464690,1532,other,Do you think it’s important to challenge typical gender roles in dating?,"['Yes', 'No']",0
32973,1526,lifestyle,Are you an adventurous eater? Do you like to try new foods and cuisines?,"['Yes, all the time.', ""Yes, if it's not too strange."", ""On rare occasions/I don't know."", 'No, yuck.']",0
17017,1524,ethics,Do you litter?,"['Often', 'Rarely', 'Never']",0
165,1522,ethics,Are you totally anti-war?,"['Yes', 'No']",0
32,1515,sex,Group sex (with 3 or more people)?:,"['I have tried it.', 'It seriously interests me.', 'I have little or no interest.']",0
2699174862,1509,dating,Would you prefer a group first date or one-on-one?,"['Group date, there’s less pressure', 'One-on-one, I want to get to know that person']",1
462356,1507,lifestyle,"Could you be in a committed relationship with someone who regularly smokes pot (> 2 times a week)?
","['Yes', 'Only if it were for medical use', 'No']",1
461421,1507,other,Which is scarier to reveal to a new partner?,"['Your emotions', 'Your body', 'Neither', 'Both equally']",0
19815,1504,lifestyle,Your significant other is perfectly content with their minimum wage job and has no plans to look for more challenging/better paying work. Is this a problem?,"[""Yes, I wouldn't be able to tolerate that."", ""Somewhat, but it's their life."", ""No, I don't mind.""]",0
61281,1497,other,How often do you 'take it out' on other people when you're having a bad day?,"['Always.', 'Frequently.', 'Occasionally.', 'Never.']",0
29,1492,sex,Would you rather…,"['be tied up during sex', 'do the tying', 'avoid bondage all together', 'sometimes be tied up, sometimes do the tying']",1
15478,1485,sex,Do you like hickies?,"['Yes', 'No']",0
462250,1483,dating,Do you ever Skype/call/video chat a date you met online before meeting up in person?,"['Yes, I prefer to chat digitally before meeting ', 'Sometimes', 'Maybe, if someone asked me to', 'Never']",1
404,1482,lifestyle,Do you read the news most days?,"['Yes', 'No']",0
6377,1480,other,Do you have a problem with authority?,"['Yes', 'No']",0
489,1479,other,Have you ever been fired from a job?,"['Yes', 'No']",0
15704,1478,other,What is your opinion of sarcasm?,"['I like it or love it', ""It's okay"", 'Sarcasm is formulaic and lazy']",0
464709,1477,dating,Would you be upset if your partner sat on someone else's lap?,"['Yes', 'No']",0
453,1474,ethics,Do you think any person is truly selfless?,"['Yes', 'No']",0
16752,1474,lifestyle,Do you think video or computer games are childish?,"['Yes', 'No']",0
34094,1466,dating,Do you believe a couple should live together before considering marriage?,"['Yes', 'No']",0
411,1462,religion,"Do humans and modern primates (apes, chimps, etc) share a common evolutionary ancestor?","['Yes', 'No', 'Unsure']",0
4147364784,1459,lifestyle,Do you know anyone who has married someone they met on a dating app?,"['Yes', 'No']",1
214,1456,ethics,"Overall, has capitalism made the world a better place?","['Yes', 'No']",0
665,1455,sex,Are you fetish-friendly?,"['Bring out the toys!', ""Never tried it, but I'm open-minded."", ""Not sure/don't know what they really are."", 'Ew!']",0
18692,1448,dating,Do you have an ex that you would really like to date again?,"['Yes', 'No']",0
60852,1447,sex,Do you believe that regular sex is necessary in maintaining a healthy relationship?,"['Yes', 'No']",0
86,1441,other,Do you own a gun?,"['Yes', 'No']",0
299,1441,religion,Do you believe in the accuracy of horoscopes?,"['Yes', 'No']",0
60318,1436,lifestyle,Would you enjoy going to an all night dance party?,"['Yes', 'No']",0
39185,1435,ethics,Which is more offensive: book burning or flag burning?,"['book burning', 'flag burning']",1
114,1433,dating,"Is it okay to live with someone you're dating, even before you're engaged or married?","['Yes', 'No']",0
72086,1432,sex,"If your partner needed lovemaking to always be gentle, would you be fine with this?","['Yes', 'No']",0
2808506546,1429,lifestyle,Do you clap when a plane lands?,"['Yes', 'No']",1
39373,1420,ethics,How often do you do things out of spite?,"['Very often.', 'Sometimes.', 'Rarely.', 'Never.']",0
3673503287,1417,lifestyle,Could you date someone who doesn't vote?,"['Yes', 'Absolutely Not']",1
19835,1409,other,Do you ever ignore people?,"['Yes', 'No']",0
462278,1409,ethics,Should we be fighting to close the gender wage gap?,"[""Definitely, it's ridiculous there's a discrepancy"", ""It's not top priority"", 'What wage gap?', ""I don't care""]",1
20778,1399,dating,You're up against a nearly impossible challenge. Your ideal partner…,"['pushes you hard to succeed', 'reminds you to be realistic', 'stands back, but comforts you if you fail']",0
491,1392,dating,What would be more likely to bother you in a relationship?,"['Not enough space', 'Not enough affection']",0
183685,1391,ethics,Do you feel obligated to help your fellow human beings?,"['Yes', 'No']",0
2311517842,1390,lifestyle,Do you answer work email on the weekend?,"['Yes', 'No', ""Only if it's urgent""]",1
55,1383,lifestyle,Does the idea of flipping a coin to make important life decisions appeal to you?,"['Yes', 'No']",0
83646,1382,lifestyle,Would you consider living with a partner who does not want any pets?,"['Yes', 'No']",0
68185,1381,lifestyle,Would you enjoy going fishing with your partner?,"['Yes', 'No']",0
30416,1380,other,Your a bitch! What bothers you more about this sentence?,"['The profanity', 'The grammar', 'They both bother me equally', 'Neither one bothers me']",0
226,1378,ethics,Which would you rather lose?,"['the right to bear arms', 'the right to vote']",0
53965,1377,ethics,"If you discovered a spider on the wall in your bedroom, which would you do?","['Ignore it.', 'Kill it.', 'Catch it and put it outside.', 'Find someone else to deal with it.']",0
